original_code,brand,name,value,price_per_kilo,unit,url,image,supermarket,privateLabel
7641116,NESTLE,Φρουτοπουρές Gerber Μήλο Μπανάνα Μύρτιλο Βιολογικός 90g,1.84,20.44,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Etoima-Vrefika-Geymata/Froytopoyres-Gerber-Milo-Mpanana-Myrtilo-Viologikos-90g/p/7641116,https://www.ab.gr/medias/sys_master/hee/h61/9539155492894.jpg,ab,False
7225491,PRODERM,Σαμπουάν & Αφρόλουτρο Βρεφικό Νο1 400ml,3.54,8.85,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Sampoyan-and-Afroloytro-Vrefiko-No1-400ml/p/7225491,https://www.ab.gr/medias/sys_master/h70/h72/9698657271838.jpg,ab,False
7742964,LE PETIT MARSEILLAIS,Σαμπουάν Conditioner Παιδικό Βιολογικό Ροδάκινο και Βερίκοκο 300ml,2.06,6.87,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Sampoyan-Conditioner-Paidiko-Viologiko-Rodakino-kai-Verikoko-300ml/p/7742964,https://www.ab.gr/medias/sys_master/products/hda/h3d/10326098378782.jpg,ab,False
7775013,BABY CARE,Μωρομάντηλα 99% Water 2x20 Τεμάχια,1.42,0.04,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Moromantila/Moromantila-99-Water-2x20-Temachia/p/7775013,https://www.ab.gr/medias/sys_master/products/h75/h2c/10330070155294.jpg,ab,False
7777615,BABYCUTE,Μωρομάντηλα Αρωματισμένα 70 Τεμάχια,0.95,0.01,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Moromantila/Moromantila-Aromatismena-70-Temachia/p/7777615,https://www.ab.gr/medias/sys_master/products/h86/h72/10424129716254.jpg,ab,False
7126490,ΝΟΥΝΟΥ,Φαρίν Λακτέ Φαρίν Λακτέ 300g,3.84,12.8,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefikes-kremes/Farin-Lakte-Farin-Lakte-300g/p/7126490,https://www.ab.gr/medias/sys_master/products/h9e/h9a/10299113766942.jpg,ab,False
7632054,HIPP,Παιδικά Μπισκότα Bio Βανίλια 180g,4.23,23.5,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Etoima-Vrefika-Geymata/Paidika-Mpiskota-Bio-Vanilia-180g/p/7632054,https://www.ab.gr/medias/sys_master/h98/h6e/9735672201246.jpg,ab,False
7752375,ΚΡΙ ΚΡΙ,Επιδόρπιο Γιαουρτιού Grow Μήλο Καρότο 2x140g,2.13,7.61,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Vrefika-giaoyrtia/Epidorpio-Giaoyrtioy-Grow-Milo-Karoto-2x140g/p/7752375,https://www.ab.gr/medias/sys_master/products/hf1/h8f/10248323432478.jpg,ab,False
7608724,PRODERM,Σαμπουάν & Αφρόλουτρο Χωρίς Σαπούνι 3+ Ετών 700ml,4.34,6.2,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Sampoyan-and-Afroloytro-Choris-Sapoyni-3-Eton-700ml/p/7608724,https://www.ab.gr/medias/sys_master/h15/h6a/9946820542494.jpg,ab,False
7749495,NESTLE,Κράκερ Δημητριακών Gerber Bio Τομάτα 100g,2.39,23.9,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Etoima-Vrefika-Geymata/Kraker-Dimitriakon-Gerber-Bio-Tomata-100g/p/7749495,https://www.ab.gr/medias/sys_master/products/h6f/hd8/10236992159774.jpg,ab,False
